Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1.0,1.0,8.0,0.0,23.77,0.0,42.87,9.89,0.0,0.0
1.0,2.0,8.0,0.0,23.59,0.0,43.49,9.08,0.0,0.0
1.0,3.0,8.0,0.0,23.5,0.0,43.82,8.22,0.0,0.0
1.0,4.0,8.0,0.0,23.41,0.0,44.15,8.57,0.0,0.0
1.0,5.0,8.0,0.0,23.34,0.0,44.49,8.93,0.0,0.0
1.0,6.0,8.0,0.0,23.27,0.0,44.78,9.2,0.0,0.0
1.0,7.0,8.0,0.0,23.28,0.0,45.0,10.35,0.36,0.0
1.0,8.0,8.0,0.0,23.32,0.0,45.22,9.62,0.33,0.0
1.0,9.0,8.0,0.0,23.65,0.0,44.55,12.03,0.4,0.0
1.0,10.0,8.0,0.0,24.13,0.0,43.64,11.13,0.37,0.0
1.0,11.0,8.0,0.0,23.85,0.0,43.93,10.63,0.38,38.44
1.0,12.0,8.0,0.0,23.48,0.0,43.94,10.49,0.55,67.72
1.0,13.0,8.0,0.0,23.56,0.06,43.09,10.21,0.58,53.95
1.0,14.0,8.0,0.0,23.58,0.07,42.63,9.59,0.86,63.05
1.0,15.0,8.0,0.0,23.59,0.04,42.26,11.3,0.61,69.78
1.0,16.0,8.0,0.0,23.78,0.05,41.57,10.48,0.44,53.72
1.0,17.0,8.0,0.0,23.89,0.0,41.16,11.51,0.41,44.32
1.0,18.0,8.0,0.0,24.09,0.0,40.72,10.76,0.44,15.04
1.0,19.0,8.0,0.0,24.3,0.0,40.57,9.64,0.0,0.0
1.0,20.0,8.0,0.0,24.25,0.0,41.03,9.27,0.0,0.0
1.0,21.0,8.0,0.0,24.16,0.0,41.49,9.59,0.0,0.0
1.0,22.0,8.0,0.0,24.08,0.0,41.87,10.11,0.0,0.0
1.0,23.0,8.0,0.0,24.0,0.0,42.15,9.66,0.0,0.0
1.0,24.0,8.0,0.0,23.92,0.0,42.38,9.14,0.0,0.0
1.0,1.0,2.0,0.0,23.88,0.0,42.53,12.47,0.0,0.0
1.0,2.0,2.0,0.0,23.79,0.0,42.91,13.43,0.0,0.0
1.0,3.0,2.0,0.0,23.65,0.0,43.46,12.96,0.0,0.0
1.0,4.0,2.0,0.0,23.51,0.0,44.01,13.09,0.0,0.0
1.0,5.0,2.0,0.0,23.39,0.0,44.48,13.65,0.0,0.0
1.0,6.0,2.0,0.0,23.27,0.0,44.85,13.49,0.0,0.0
1.0,7.0,2.0,0.0,22.17,0.0,47.99,15.29,0.68,2.1
1.0,8.0,2.0,0.0,21.98,0.0,48.92,24.86,1.93,0.34
1.0,9.0,2.0,0.0,22.6,0.0,47.97,58.04,3.48,9.83
1.0,10.0,2.0,0.0,22.91,0.0,48.1,50.37,3.38,17.22
1.0,11.0,2.0,0.0,23.06,0.0,48.35,43.27,3.15,22.35
1.0,12.0,2.0,0.0,23.28,0.0,47.64,43.75,3.79,29.34
1.0,13.0,2.0,0.0,23.19,0.0,45.91,51.43,5.53,32.81
1.0,14.0,2.0,0.0,23.34,0.0,44.18,49.22,4.84,32.48
1.0,15.0,2.0,0.0,23.45,0.0,42.57,43.37,3.23,29.61
1.0,16.0,2.0,0.0,23.49,0.0,40.49,39.99,2.78,26.9
1.0,17.0,2.0,0.0,23.52,0.0,39.09,48.58,4.08,23.67
1.0,18.0,2.0,0.0,23.0,0.0,38.68,37.24,2.58,16.92
