Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1.0,1.0,8.0,0.0,23.79,0.0,34.17,2.36,0.0,0.0
1.0,2.0,8.0,0.0,24.77,0.0,34.84,1.91,0.0,0.0
1.0,3.0,8.0,0.0,25.08,0.0,38.42,2.47,0.0,0.0
1.0,4.0,8.0,0.0,24.01,0.0,34.64,1.8,0.0,0.24
1.0,5.0,8.0,0.0,23.95,0.0,34.88,3.56,0.0,0.0
1.0,6.0,8.0,0.0,23.47,0.0,38.31,6.06,0.0,0.0
1.0,7.0,8.0,0.0,23.5,0.0,38.21,7.49,0.0,0.0
1.0,8.0,8.0,0.0,23.64,0.0,40.12,8.26,2.84,0.0
1.0,9.0,8.0,0.0,24.07,0.0,39.89,10.64,2.81,1.17
1.0,10.0,8.0,0.0,24.63,0.0,36.79,12.37,2.64,3.79
1.0,11.0,8.0,0.0,25.0,0.0,34.63,14.72,1.53,10.3
1.0,12.0,8.0,0.0,25.56,0.56,35.58,16.11,11.43,16.88
1.0,13.0,8.0,0.0,25.91,0.91,34.99,15.02,10.09,20.38
1.0,14.0,8.0,0.0,25.87,0.87,33.27,12.44,14.43,20.7
1.0,15.0,8.0,0.0,25.9,0.9,32.83,11.34,15.52,18.9
1.0,16.0,8.0,0.0,25.45,0.46,33.8,12.25,4.13,18.04
1.0,17.0,8.0,0.0,25.25,0.25,34.33,12.51,4.61,18.36
1.0,18.0,8.0,0.0,25.23,0.23,34.71,12.03,4.14,18.21
1.0,19.0,8.0,0.0,25.09,0.09,35.28,12.08,2.82,18.37
1.0,20.0,8.0,0.0,25.05,0.05,34.21,10.34,1.66,17.09
1.0,21.0,8.0,0.0,25.12,0.12,33.57,9.12,7.42,13.79
1.0,22.0,8.0,0.0,25.01,0.02,32.95,9.79,7.26,8.36
1.0,23.0,8.0,0.0,24.71,0.01,32.29,5.48,6.82,4.21
1.0,24.0,8.0,0.0,24.41,0.01,31.68,2.77,0.0,2.19
1.0,1.0,2.0,0.0,24.53,0.0,33.11,2.55,0.0,0.0
1.0,2.0,2.0,0.0,25.04,0.0,34.83,1.9,0.0,0.0
1.0,3.0,2.0,0.0,25.16,0.0,39.28,2.54,0.0,0.0
1.0,4.0,2.0,0.0,23.92,0.0,35.26,2.01,0.0,0.16
1.0,5.0,2.0,0.0,23.51,0.0,35.47,3.38,0.0,0.0
1.0,6.0,2.0,0.0,23.03,0.0,38.24,6.91,0.0,0.03
1.0,7.0,2.0,0.0,22.96,0.0,37.82,7.58,2.8,0.0
1.0,8.0,2.0,0.0,23.03,0.0,37.92,7.48,2.84,0.0
1.0,9.0,2.0,0.0,23.46,0.0,38.55,7.89,5.63,0.0
1.0,10.0,2.0,0.0,23.61,0.0,38.71,9.6,2.18,0.0
1.0,11.0,2.0,0.0,23.62,0.01,39.33,13.12,1.87,0.0
1.0,12.0,2.0,0.0,24.09,0.47,40.79,14.46,13.7,1.95
1.0,13.0,2.0,0.0,24.28,0.62,38.79,13.91,5.52,2.61
1.0,14.0,2.0,0.0,24.28,0.6,36.53,12.78,16.69,2.61
1.0,15.0,2.0,0.0,24.39,0.71,33.77,10.43,16.27,2.46
1.0,16.0,2.0,0.0,23.9,0.22,32.63,10.4,3.55,2.23
1.0,17.0,2.0,0.0,23.67,0.06,32.74,12.86,5.16,1.89
1.0,18.0,2.0,0.0,23.65,0.04,32.54,13.04,3.66,1.35
1.0,19.0,2.0,0.0,23.61,0.0,31.68,12.13,2.41,0.3
1.0,20.0,2.0,0.0,23.62,0.01,30.47,10.29,1.54,0.04
1.0,21.0,2.0,0.0,23.63,0.02,30.47,10.3,6.13,0.0
1.0,22.0,2.0,0.0,23.62,0.01,29.92,8.43,7.45,0.0
1.0,23.0,2.0,0.0,23.3,0.0,28.01,4.71,6.93,0.0
1.0,24.0,2.0,0.0,22.83,0.0,26.53,2.19,2.25,0.0
1.0,1.0,3.0,0.0,20.8,0.0,28.33,2.16,0.0,0.0
1.0,2.0,3.0,0.0,22.72,0.0,26.35,1.65,0.0,0.0
1.0,3.0,3.0,0.0,23.56,0.0,29.25,2.43,0.0,0.0
1.0,4.0,3.0,0.0,22.96,0.0,25.07,2.16,0.0,0.0
1.0,5.0,3.0,0.0,23.2,0.0,24.36,3.22,0.0,0.0
1.0,6.0,3.0,0.0,22.67,0.0,26.25,5.63,0.0,0.0
1.0,7.0,3.0,0.0,22.55,0.0,27.05,6.35,2.94,0.0
1.0,8.0,3.0,0.0,22.39,0.0,27.6,6.56,2.73,0.0
1.0,9.0,3.0,0.0,22.95,0.0,28.97,8.19,5.61,0.0
1.0,10.0,3.0,0.0,23.52,0.0,28.55,10.65,2.08,0.0
1.0,11.0,3.0,0.0,23.8,0.0,28.18,14.31,1.55,0.55
1.0,12.0,3.0,0.0,24.73,0.44,28.92,15.43,10.24,3.76
1.0,13.0,3.0,0.0,25.45,0.64,27.31,13.93,4.36,5.26
1.0,14.0,3.0,0.0,25.63,0.63,26.09,11.91,16.46,7.2
1.0,15.0,3.0,0.0,25.78,0.78,24.89,12.24,13.53,7.43
1.0,16.0,3.0,0.0,25.32,0.35,24.42,13.19,3.03,5.96
1.0,17.0,3.0,0.0,24.86,0.19,25.81,15.66,4.33,5.14
1.0,18.0,3.0,0.0,24.42,0.17,27.14,14.69,3.57,4.14
1.0,19.0,3.0,0.0,24.0,0.04,29.13,12.55,2.74,3.5
1.0,20.0,3.0,0.0,23.78,0.0,31.04,11.88,1.52,2.34
1.0,21.0,3.0,0.0,23.63,0.01,30.79,10.24,6.2,2.16
