Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1.0,1.0,8.0,0.0,23.86,0.0,43.01,10.4,2.28,13.43
1.0,2.0,8.0,0.0,23.76,0.0,44.91,7.4,0.12,7.98
1.0,3.0,8.0,0.0,23.74,0.0,46.08,9.4,0.12,9.3
1.0,4.0,8.0,0.0,23.71,0.0,47.12,9.9,0.12,9.29
1.0,5.0,8.0,0.0,23.66,0.0,48.42,7.9,0.72,6.62
1.0,6.0,8.0,0.0,23.65,0.0,49.22,9.4,0.6,7.61
1.0,7.0,8.0,0.0,23.53,0.0,50.25,6.4,7.44,5.08
1.0,8.0,8.0,0.0,23.64,0.0,50.2,11.7,7.68,10.74
1.0,9.0,8.0,0.0,23.75,0.0,49.13,13.3,8.88,17.66
1.0,10.0,8.0,0.0,23.81,0.0,47.66,10.5,7.92,18.71
1.0,11.0,8.0,0.0,23.86,0.0,45.85,15.5,4.68,27.78
1.0,12.0,8.0,0.0,23.89,0.0,44.23,17.3,4.08,32.35
1.0,13.0,8.0,0.0,23.89,0.0,43.09,17.1,3.36,34.49
1.0,14.0,8.0,0.0,23.89,0.0,41.8,24.0,2.16,44.91
1.0,15.0,8.0,0.0,23.89,0.0,41.03,17.7,0.96,39.01
1.0,16.0,8.0,0.0,23.89,0.0,40.98,17.9,2.88,40.35
1.0,17.0,8.0,0.0,23.89,0.0,41.53,11.0,0.72,30.07
1.0,18.0,8.0,0.0,23.89,0.0,42.52,13.2,1.92,29.22
1.0,19.0,8.0,0.0,23.89,0.0,43.6,12.9,1.68,28.86
1.0,20.0,8.0,0.0,23.89,0.0,43.74,18.4,3.0,33.98
1.0,21.0,8.0,0.0,23.89,0.0,43.28,16.1,4.8,29.13
1.0,22.0,8.0,0.0,23.89,0.0,43.01,17.1,3.0,28.68
1.0,23.0,8.0,0.0,23.89,0.0,42.33,21.8,3.96,32.47
