Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1.0,1.0,8.0,0.0,23.16,0.0,45.64,7.5,1.56,9.68
1.0,2.0,8.0,0.0,22.87,0.0,48.05,7.4,0.36,8.27
1.0,3.0,8.0,0.0,22.79,0.0,49.18,7.5,0.36,7.77
1.0,4.0,8.0,0.0,22.71,0.0,50.5,6.2,0.0,6.45
1.0,5.0,8.0,0.0,22.68,0.0,51.57,7.1,2.88,6.53
1.0,6.0,8.0,0.0,22.67,0.0,52.02,8.3,1.08,6.8
1.0,7.0,8.0,0.0,22.66,0.0,52.25,7.8,5.16,6.18
1.0,8.0,8.0,0.0,22.68,0.0,52.21,9.8,14.16,7.79
1.0,9.0,8.0,0.0,23.01,0.0,50.69,16.6,3.0,14.89
1.0,10.0,8.0,0.0,23.21,0.0,48.87,14.6,16.68,17.62
1.0,11.0,8.0,0.0,23.38,0.0,46.94,17.3,11.76,24.34
1.0,12.0,8.0,0.0,23.47,0.0,45.5,15.9,0.96,26.42
1.0,13.0,8.0,0.0,23.45,0.0,44.83,10.0,2.64,24.02
1.0,14.0,8.0,0.0,23.49,0.0,43.99,12.5,1.2,30.7
1.0,15.0,8.0,0.0,23.49,0.0,43.18,13.1,0.6,34.05
1.0,16.0,8.0,0.0,23.49,0.0,42.4,20.6,2.04,44.27
1.0,17.0,8.0,0.0,23.49,0.0,42.36,11.5,2.04,30.68
1.0,18.0,8.0,0.0,23.49,0.0,43.06,9.1,1.92,23.29
1.0,19.0,8.0,0.0,23.49,0.0,43.76,16.5,1.68,31.54
1.0,20.0,8.0,0.0,23.49,0.0,43.65,23.6,3.0,37.86
1.0,21.0,8.0,0.0,23.49,0.0,43.17,23.4,3.6,35.06
1.0,22.0,8.0,0.0,23.49,0.0,43.37,16.8,1.68,25.16
1.0,23.0,8.0,0.0,23.49,0.0,43.38,21.4,3.48,28.52
1.0,24.0,8.0,0.0,23.48,0.0,43.57,13.9,1.2,17.45
1.0,1.0,2.0,0.0,23.41,0.0,44.85,12.2,1.2,14.02
1.0,2.0,2.0,0.0,23.02,0.0,47.43,6.4,0.6,8.59
1.0,3.0,2.0,0.0,22.77,0.0,49.6,6.1,0.12,6.98
1.0,4.0,2.0,0.0,22.68,0.0,50.8,6.6,0.12,6.15
1.0,5.0,2.0,0.0,22.64,0.0,51.57,5.6,0.0,4.5
1.0,6.0,2.0,0.0,22.63,0.0,51.67,7.9,2.52,4.8
1.0,7.0,2.0,0.0,22.61,0.0,51.29,8.4,3.84,4.14
1.0,8.0,2.0,0.0,22.61,0.0,50.74,10.1,20.88,4.76
1.0,9.0,2.0,0.0,22.7,0.0,49.25,17.8,5.16,9.28
1.0,10.0,2.0,0.0,22.66,0.0,48.05,13.0,3.0,6.52
1.0,11.0,2.0,0.0,22.65,0.0,47.72,11.2,10.56,6.12
1.0,12.0,2.0,0.0,22.68,0.0,47.44,9.7,2.28,6.69
1.0,13.0,2.0,0.0,22.7,0.0,46.82,10.4,5.52,7.05
1.0,14.0,2.0,0.0,23.05,0.0,44.55,21.0,5.76,13.54
1.0,15.0,2.0,0.0,22.84,0.0,43.67,11.0,3.72,8.1
1.0,16.0,2.0,0.0,22.8,0.0,42.22,9.5,4.08,7.72
1.0,17.0,2.0,0.0,22.82,0.0,40.87,10.0,8.52,8.0
1.0,18.0,2.0,0.0,22.84,0.0,39.96,17.1,9.24,9.69
1.0,19.0,2.0,0.0,22.76,0.0,39.73,12.7,3.48,6.94
1.0,20.0,2.0,0.0,22.83,0.0,39.17,19.8,3.72,10.0
1.0,21.0,2.0,0.0,22.75,0.0,39.1,16.8,3.96,7.39
1.0,22.0,2.0,0.0,22.69,0.0,39.27,16.3,1.32,6.47
1.0,23.0,2.0,0.0,22.66,0.0,39.09,15.6,1.44,5.35
1.0,24.0,2.0,0.0,22.63,0.0,38.79,14.6,1.32,4.09
1.0,1.0,3.0,0.0,22.56,0.0,38.53,11.0,0.72,2.3
1.0,2.0,3.0,0.0,22.43,0.0,38.76,7.7,0.24,1.27
1.0,3.0,3.0,0.0,22.35,0.0,39.23,7.3,0.12,1.04
1.0,4.0,3.0,0.0,22.26,0.0,39.64,6.3,1.68,0.79
1.0,5.0,3.0,0.0,22.27,0.0,39.66,8.1,0.12,0.94
1.0,6.0,3.0,0.0,22.37,0.0,39.28,12.0,1.92,1.57
1.0,7.0,3.0,0.0,22.37,0.0,39.01,11.2,3.24,1.35
1.0,8.0,3.0,0.0,22.49,0.0,38.12,17.5,12.96,3.48
1.0,9.0,3.0,0.0,22.58,0.0,37.23,19.7,13.8,5.98
1.0,10.0,3.0,0.0,22.59,0.0,36.57,12.3,5.04,5.15
1.0,11.0,3.0,0.0,22.82,0.0,35.57,15.6,4.56,8.68
1.0,12.0,3.0,0.0,22.99,0.0,34.89,14.6,20.16,11.18
1.0,13.0,3.0,0.0,23.01,0.0,34.75,7.4,6.84,9.83
1.0,14.0,3.0,0.0,23.19,0.0,34.44,14.6,5.76,18.1
