Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1.0,1.0,8.0,0.0,22.87,0.0,51.39,0.46,0.0,0.0
1.0,2.0,8.0,0.0,22.54,0.0,52.45,0.42,0.0,0.0
1.0,3.0,8.0,0.0,22.27,0.0,53.23,0.41,0.0,0.0
1.0,4.0,8.0,0.0,22.05,0.0,53.95,0.43,0.0,0.0
1.0,5.0,8.0,0.0,21.85,0.0,54.62,0.44,0.0,0.0
1.0,6.0,8.0,0.0,21.68,0.0,55.21,0.43,0.0,0.0
1.0,7.0,8.0,0.0,21.52,0.0,55.73,0.45,0.0,0.0
1.0,8.0,8.0,0.0,21.42,0.0,56.05,0.48,0.0,0.0
1.0,9.0,8.0,0.0,21.61,0.0,55.45,0.43,0.0,0.51
1.0,10.0,8.0,0.0,22.24,0.0,53.61,2.68,0.0,0.91
1.0,11.0,8.0,0.0,23.44,0.0,49.87,5.96,0.0,8.01
1.0,12.0,8.0,0.0,23.89,0.0,47.36,6.94,0.0,30.7
1.0,13.0,8.0,0.0,23.89,0.0,46.13,8.39,0.0,52.66
1.0,14.0,8.0,0.0,23.89,0.0,45.74,8.58,0.0,60.25
1.0,15.0,8.0,0.0,23.89,0.0,45.31,7.48,0.0,61.02
1.0,16.0,8.0,0.0,23.89,0.0,45.82,8.52,0.0,61.39
1.0,17.0,8.0,0.0,23.89,0.0,46.13,7.94,0.0,54.42
1.0,18.0,8.0,0.0,24.73,0.0,44.72,5.06,0.0,15.83
1.0,19.0,8.0,0.0,24.57,0.12,45.98,2.0,0.0,8.17
1.0,20.0,8.0,0.0,24.1,0.19,47.7,1.91,0.0,6.69
1.0,21.0,8.0,0.0,23.81,0.2,48.62,2.06,0.0,5.45
1.0,22.0,8.0,0.0,23.6,0.2,49.4,2.35,0.0,3.17
1.0,23.0,8.0,0.0,23.42,0.19,49.89,2.37,0.0,0.98
1.0,24.0,8.0,0.0,23.14,0.15,50.56,1.31,0.0,0.0
1.0,1.0,2.0,0.0,22.9,0.0,51.24,0.46,0.0,0.0
1.0,2.0,2.0,0.0,22.62,0.0,52.12,0.41,0.0,0.0
1.0,3.0,2.0,0.0,22.31,0.0,53.06,0.46,0.0,0.0
1.0,4.0,2.0,0.0,22.02,0.0,53.96,0.4,0.0,0.0
1.0,5.0,2.0,0.0,21.77,0.0,54.74,0.47,0.0,0.0
1.0,6.0,2.0,0.0,21.52,0.0,55.43,0.41,0.0,0.0
1.0,7.0,2.0,0.0,21.29,0.0,55.95,0.39,0.0,0.0
1.0,8.0,2.0,0.0,21.18,0.0,56.05,0.4,0.0,0.31
1.0,9.0,2.0,0.0,21.18,0.0,55.42,1.45,0.0,0.63
1.0,10.0,2.0,0.0,21.07,0.0,54.44,4.89,0.0,0.0
1.0,11.0,2.0,0.0,21.18,0.0,53.34,6.75,0.0,0.0
1.0,12.0,2.0,0.0,21.55,0.0,52.21,6.66,0.0,0.0
1.0,13.0,2.0,0.0,21.32,0.0,51.46,7.9,0.0,0.0
1.0,14.0,2.0,0.0,21.37,0.0,49.76,7.44,0.0,0.0
1.0,15.0,2.0,0.0,21.37,0.0,47.51,7.53,0.0,0.0
1.0,16.0,2.0,0.0,21.35,0.0,44.72,7.05,0.0,0.0
1.0,17.0,2.0,0.0,21.23,0.0,43.02,7.76,0.0,0.0
1.0,18.0,2.0,0.0,21.08,0.0,42.18,7.56,0.0,0.0
1.0,19.0,2.0,0.0,21.27,0.0,40.99,8.63,0.0,0.0
1.0,20.0,2.0,0.0,21.17,0.0,40.35,7.84,0.0,0.0
1.0,21.0,2.0,0.0,21.05,0.0,39.99,5.04,0.0,0.0
1.0,22.0,2.0,0.0,21.2,0.0,39.57,2.46,0.0,0.0
1.0,23.0,2.0,0.0,21.15,0.0,39.7,2.17,0.0,0.0
1.0,24.0,2.0,0.0,20.95,0.0,40.07,1.54,0.0,0.0
1.0,1.0,3.0,0.0,20.72,0.0,40.49,0.46,0.0,0.0
1.0,2.0,3.0,0.0,20.47,0.0,41.1,0.4,0.0,0.0
1.0,3.0,3.0,0.0,20.25,0.0,41.64,0.38,0.0,0.0
1.0,4.0,3.0,0.0,20.07,0.0,42.1,0.39,0.0,0.0
1.0,5.0,3.0,0.0,19.92,0.0,42.48,0.37,0.0,0.0
1.0,6.0,3.0,0.0,19.78,0.0,42.84,0.44,0.0,0.0
1.0,7.0,3.0,0.0,19.65,0.0,43.16,0.46,0.0,0.0
1.0,8.0,3.0,0.0,19.86,0.0,42.54,0.42,0.0,0.27
1.0,9.0,3.0,0.0,21.03,0.0,38.96,1.37,0.0,0.0
1.0,10.0,3.0,0.0,20.98,0.0,38.08,5.48,0.0,0.0
1.0,11.0,3.0,0.0,21.32,0.0,36.57,7.74,0.0,0.0
1.0,12.0,3.0,0.0,22.15,0.0,34.81,7.93,0.0,0.0
1.0,13.0,3.0,0.0,22.79,0.0,33.85,7.92,0.0,0.0
1.0,14.0,3.0,0.0,23.55,0.0,33.12,7.82,0.0,0.32
1.0,15.0,3.0,0.0,23.83,0.0,32.78,7.44,0.0,2.36
1.0,16.0,3.0,0.0,23.82,0.0,31.86,8.52,0.0,0.72
1.0,17.0,3.0,0.0,23.34,0.0,32.08,8.09,0.0,0.0
1.0,18.0,3.0,0.0,22.57,0.0,33.76,7.28,0.0,0.0
1.0,19.0,3.0,0.0,22.26,0.0,35.45,7.12,0.0,0.0
1.0,20.0,3.0,0.0,21.94,0.0,38.82,7.98,0.0,0.0
1.0,21.0,3.0,0.0,21.52,0.0,40.09,5.34,0.0,0.0
1.0,22.0,3.0,0.0,21.77,0.0,38.88,2.17,0.0,0.0
1.0,23.0,3.0,0.0,21.83,0.04,38.67,2.44,0.0,0.0
1.0,24.0,3.0,0.0,21.61,0.0,39.21,1.41,0.0,0.0
1.0,1.0,4.0,0.0,21.43,0.0,39.66,0.43,0.0,0.0
1.0,2.0,4.0,0.0,21.2,0.0,40.25,0.48,0.0,0.0
1.0,3.0,4.0,0.0,20.95,0.0,40.97,0.45,0.0,0.0
1.0,4.0,4.0,0.0,20.71,0.0,41.76,0.45,0.0,0.0
1.0,5.0,4.0,0.0,20.48,0.0,42.44,0.46,0.0,0.0
1.0,6.0,4.0,0.0,20.28,0.0,43.07,0.46,0.0,0.0
1.0,7.0,4.0,0.0,20.15,0.0,43.53,0.46,0.0,0.0
1.0,8.0,4.0,0.0,20.24,0.0,43.32,0.46,0.0,0.27
1.0,9.0,4.0,0.0,20.92,0.0,41.61,1.55,0.0,0.52
1.0,10.0,4.0,0.0,20.92,0.0,42.02,5.14,0.0,0.0
1.0,11.0,4.0,0.0,20.99,0.0,41.75,7.11,0.0,0.0
1.0,12.0,4.0,0.0,21.17,0.0,41.75,8.32,0.0,0.0
1.0,13.0,4.0,0.0,21.1,0.0,42.42,8.51,0.0,0.0
1.0,14.0,4.0,0.0,21.36,0.0,42.44,9.15,0.0,0.0
1.0,15.0,4.0,0.0,21.62,0.0,41.67,9.14,0.0,0.0
1.0,16.0,4.0,0.0,21.78,0.0,41.5,8.04,0.0,0.0
1.0,17.0,4.0,0.0,21.63,0.0,41.0,8.06,0.0,0.0
1.0,18.0,4.0,0.0,21.3,0.0,40.82,7.5,0.0,0.0
1.0,19.0,4.0,0.0,21.41,0.0,40.63,8.53,0.0,0.0
1.0,20.0,4.0,0.0,21.24,0.0,41.29,9.29,0.0,0.0
1.0,21.0,4.0,0.0,21.06,0.0,40.98,5.45,0.0,0.0
1.0,22.0,4.0,0.0,21.21,0.0,40.37,2.53,0.0,0.0
1.0,23.0,4.0,0.0,21.15,0.0,40.61,2.69,0.0,0.0
1.0,24.0,4.0,0.0,20.93,0.0,41.03,1.52,0.0,0.0
