Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1.0,1.0,8.0,0.0,22.6,0.0,52.86,1.65,0.0,0.0
1.0,2.0,8.0,0.0,22.38,0.0,53.56,1.59,0.0,0.0
1.0,3.0,8.0,0.0,22.21,0.0,54.05,1.7,0.0,0.0
1.0,4.0,8.0,0.0,22.07,0.0,54.52,1.79,0.0,0.0
1.0,5.0,8.0,0.0,21.93,0.0,54.98,1.94,0.0,0.0
1.0,6.0,8.0,0.0,21.8,0.0,55.4,2.03,0.0,0.0
1.0,7.0,8.0,0.0,21.68,0.0,55.79,1.91,0.0,0.0
1.0,8.0,8.0,0.0,21.6,0.0,56.03,2.01,0.0,0.0
1.0,9.0,8.0,0.0,21.89,0.0,55.14,1.8,0.0,0.0
1.0,10.0,8.0,0.0,22.47,0.0,53.51,3.94,0.0,0.54
1.0,11.0,8.0,0.0,23.58,0.0,50.03,8.31,0.0,9.87
1.0,12.0,8.0,0.0,23.88,0.0,48.91,7.82,0.0,18.77
1.0,13.0,8.0,0.0,23.9,0.0,49.03,9.29,0.0,37.03
1.0,14.0,8.0,0.0,23.9,0.0,49.0,8.24,0.0,43.73
1.0,15.0,8.0,0.0,23.9,0.0,48.77,8.42,0.0,43.53
1.0,16.0,8.0,0.0,23.9,0.0,48.92,9.77,0.0,43.71
1.0,17.0,8.0,0.0,23.9,0.0,49.17,10.07,0.0,40.25
1.0,18.0,8.0,0.0,23.9,0.0,49.11,7.44,0.0,26.49
1.0,19.0,8.0,0.0,23.9,0.0,49.09,4.99,0.0,15.51
1.0,20.0,8.0,0.0,23.69,0.04,49.78,2.02,0.0,0.68
1.0,21.0,8.0,0.0,23.36,0.05,50.75,1.93,0.0,0.59
1.0,22.0,8.0,0.0,23.13,0.02,51.41,1.95,0.0,0.51
1.0,23.0,8.0,0.0,22.95,0.02,51.89,1.69,0.0,0.0
1.0,24.0,8.0,0.0,22.78,0.01,52.3,1.58,0.0,0.0
1.0,1.0,2.0,0.0,22.65,0.0,52.65,1.94,0.0,0.0
1.0,2.0,2.0,0.0,22.49,0.0,53.13,2.43,0.0,0.0
1.0,3.0,2.0,0.0,22.29,0.0,53.73,2.16,0.0,0.0
1.0,4.0,2.0,0.0,22.08,0.0,54.36,2.14,0.0,0.0
1.0,5.0,2.0,0.0,21.9,0.0,54.9,2.43,0.0,0.0
1.0,6.0,2.0,0.0,21.71,0.0,55.38,2.2,0.0,0.0
