Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1.0,1.0,8.0,0.0,23.34,0.0,44.26,9.7,1.56,11.2
1.0,2.0,8.0,0.0,23.31,0.0,45.63,10.9,0.72,10.22
1.0,3.0,8.0,0.0,23.29,0.0,46.47,10.8,0.0,9.34
1.0,4.0,8.0,0.0,23.19,0.0,48.09,7.1,0.12,5.03
1.0,5.0,8.0,0.0,23.11,0.0,49.9,6.3,0.12,3.89
1.0,6.0,8.0,0.0,23.12,0.0,50.72,8.3,3.12,5.15
1.0,7.0,8.0,0.0,23.1,0.0,51.22,8.1,5.04,4.51
1.0,8.0,8.0,0.0,23.21,0.0,50.67,13.2,9.84,10.46
1.0,9.0,8.0,0.0,23.31,0.0,49.44,13.7,3.6,15.96
1.0,10.0,8.0,0.0,23.36,0.0,47.54,15.0,9.12,22.2
1.0,11.0,8.0,0.0,23.36,0.0,45.99,10.1,6.72,19.7
1.0,12.0,8.0,0.0,23.36,0.0,44.61,16.8,3.24,30.3
1.0,13.0,8.0,0.0,23.36,0.0,43.64,12.1,3.24,27.08
1.0,14.0,8.0,0.0,23.36,0.0,43.0,11.5,3.36,29.16
1.0,15.0,8.0,0.0,23.36,0.0,42.58,9.1,3.6,28.07
1.0,16.0,8.0,0.0,23.36,0.0,42.55,8.8,1.56,28.85
1.0,17.0,8.0,0.0,23.36,0.0,42.72,9.8,3.36,27.08
1.0,18.0,8.0,0.0,23.36,0.0,43.19,9.3,2.4,22.04
1.0,19.0,8.0,0.0,23.36,0.0,43.72,15.3,3.24,29.18
1.0,20.0,8.0,0.0,23.36,0.0,43.65,19.6,4.44,32.93
1.0,21.0,8.0,0.0,23.36,0.0,43.48,14.9,5.64,25.58
1.0,22.0,8.0,0.0,23.36,0.0,43.77,12.5,2.64,21.41
1.0,23.0,8.0,0.0,23.36,0.0,43.63,16.2,2.64,24.21
1.0,24.0,8.0,0.0,23.36,0.0,43.44,13.2,1.32,18.78
1.0,1.0,2.0,0.0,23.35,0.0,44.2,10.2,0.84,13.39
1.0,2.0,2.0,0.0,23.32,0.0,45.73,9.4,0.96,10.22
1.0,3.0,2.0,0.0,23.28,0.0,47.01,9.9,0.36,8.35
1.0,4.0,2.0,0.0,23.18,0.0,48.46,8.1,0.36,4.92
1.0,5.0,2.0,0.0,23.0,0.0,50.17,6.5,0.48,2.61
1.0,6.0,2.0,0.0,23.03,0.0,50.53,10.0,4.56,4.07
1.0,7.0,2.0,0.0,23.1,0.0,49.73,13.9,5.52,6.21
1.0,8.0,2.0,0.0,23.19,0.0,48.29,18.2,16.32,10.14
1.0,9.0,2.0,0.0,23.24,0.0,46.61,18.3,4.44,10.81
1.0,10.0,2.0,0.0,23.18,0.0,45.79,12.8,7.8,5.52
